time,ACC,FAR,FRR,TP,FP,FN,TN
22:10:07,0.9999999998913044,0.0,0.0,1,0,0,91
22:10:21,0.9999999999456521,0.0,0.0,2,0,0,182
22:10:36,0.9999999999637681,0.0,0.0,3,0,0,273
22:10:50,0.9999999999728261,0.0,0.0,4,0,0,364
22:11:04,0.9999999999782608,0.0,0.0,5,0,0,455
22:11:19,0.999999999981884,0.0,0.0,6,0,0,546
22:11:33,0.9999999999844721,0.0,0.0,7,0,0,637
22:11:48,0.999999999986413,0.0,0.0,8,0,0,728
22:12:03,0.9999999999879227,0.0,0.0,9,0,0,819
22:12:18,0.9999999999891305,0.0,0.0,10,0,0,910
22:12:34,0.9990118576976382,0.0,0.09090909082644627,10,0,1,1001
22:12:48,0.999094202889501,0.0,0.08333333326388888,11,0,1,1092
22:13:03,0.9991638795903081,0.0,0.07692307686390532,12,0,1,1183
22:13:18,0.9992236024767142,0.0,0.07142857137755101,13,0,1,1274
22:13:32,0.9992753623115995,0.0,0.06666666662222222,14,0,1,1365
22:13:47,0.9993206521671243,0.0,0.0624999999609375,15,0,1,1456
22:14:02,0.9993606138043519,0.0,0.05882352937716263,16,0,1,1547
22:14:16,0.9993961352596655,0.0,0.05555555552469135,17,0,1,1638
22:14:31,0.9994279176144198,0.0,0.05263157891966759,18,0,1,1729
22:14:45,0.9994565217336987,0.0,0.049999999975,19,0,1,1820
22:14:59,0.9994824016511414,0.0,0.04761904759637188,20,0,1,1911
22:15:13,0.9995059288488167,0.0,0.045454545433884296,21,0,1,2002
22:15:28,0.9995274102032159,0.0,0.04347826085066162,22,0,1,2093
22:15:42,0.9995471014447485,0.0,0.04166666664930555,23,0,1,2184
22:15:56,0.9995652173869585,0.0,0.039999999984,24,0,1,2275
22:16:10,0.9995819397951523,0.0,0.03846153844674556,25,0,1,2366
22:16:25,0.9995974235064429,0.0,0.03703703702331961,26,0,1,2457
22:16:39,0.9996118012383556,0.0,0.03571428570153061,27,0,1,2548
22:16:54,0.9996251874025501,0.0,0.03448275860879905,28,0,1,2639
22:17:08,0.9996376811557984,0.0,0.03333333332222222,29,0,1,2730
22:17:22,0.9996493688604501,0.0,0.0322580645057232,30,0,1,2821
22:17:36,0.9996603260835609,0.0,0.031249999990234374,31,0,1,2912
22:17:51,0.999670619232544,0.0,0.030303030293847566,32,0,1,3003
22:18:05,0.999680306902175,0.0,0.029411764697231835,33,0,1,3094
22:18:19,0.9996894409906842,0.0,0.028571428563265305,34,0,1,3185
